"word"	"n"	"right_spelling"
"honorable"	48023	FALSE
"Honorable"	1670	FALSE
"Labor"	1420	FALSE
"6d"	932	FALSE
"AttorneyGeneral"	598	FALSE
"PostmasterGeneral"	586	FALSE
"10s"	538	FALSE
"2s"	483	FALSE
"lt"	438	FALSE
"5s"	434	FALSE
"p.m"	405	FALSE
"3s"	309	FALSE
"favorable"	304	FALSE
"employes"	298	FALSE
"3d"	275	FALSE
"2d"	272	FALSE
"4s"	259	FALSE
"Monaro"	241	FALSE
"Evatt"	240	FALSE
"15s"	236	FALSE
"Earle"	224	FALSE
"bo"	215	FALSE
"7s"	207	FALSE
"9d"	203	FALSE
"tho"	193	FALSE
"th"	191	FALSE
"4d"	188	FALSE
"bv"	182	FALSE
"Dalgety"	176	FALSE
"6s"	175	FALSE
"12s"	161	FALSE
"GovernorGeneral"	147	FALSE
"tha"	146	FALSE
"tion"	136	FALSE
"pf"	133	FALSE
"valorem"	132	FALSE
"8s"	130	FALSE
"thai"	130	FALSE
"Qantas"	129	FALSE
"8d"	128	FALSE
"Medibank"	128	FALSE
"ment"	128	FALSE
"Beasley"	124	FALSE
"tlie"	123	FALSE
"o"	122	FALSE
"25s"	120	FALSE
"favorably"	119	FALSE
"Pty"	118	FALSE
"a.m"	115	FALSE
"Ansett"	103	FALSE
"Dedman"	102	FALSE
"wheatgrowers"	100	FALSE
"Crean"	97	FALSE
"exservicemen"	96	FALSE
"ing"	96	FALSE
"Hon"	94	FALSE
"5d"	93	FALSE
"freetrade"	93	FALSE
"ofthe"	93	FALSE
"te"	93	FALSE
"30s"	92	FALSE
"7d"	91	FALSE
"lias"	90	FALSE
"Gullett"	89	FALSE
"Killen"	89	FALSE
"mem"	87	FALSE
"iri"	86	FALSE
"Parkhill"	86	FALSE
"foi"	85	FALSE
"indorse"	85	FALSE
"17s"	83	FALSE
"Snedden"	82	FALSE
"16s"	81	FALSE
"9s"	81	FALSE
"honor"	74	FALSE
"Yass"	73	FALSE
"Stevedoring"	72	FALSE
"thev"	72	FALSE
"13s"	71	FALSE
"20s"	71	FALSE
"iu"	71	FALSE
"Haylen"	70	FALSE
"kanakas"	70	FALSE
"sessional"	70	FALSE
"14s"	68	FALSE
"Bombala"	68	FALSE
"stevedoring"	68	FALSE
"ber"	67	FALSE
"kanaka"	66	FALSE
"Oodnadatta"	66	FALSE
"secondreading"	66	FALSE
"Fairbairn"	65	FALSE
"fide"	65	FALSE
"facie"	64	FALSE
"Lyndhurst"	64	FALSE
"ot"	64	FALSE
"PostmasterGeneral's"	63	FALSE
"Trobe"	63	FALSE
"mav"	62	FALSE
"tobe"	62	FALSE
"Aus"	60	FALSE
"harbor"	60	FALSE
"prima"	60	FALSE
"primage"	60	FALSE
"thu"	60	FALSE
"tothe"	60	FALSE
"judice"	59	FALSE
"df"	57	FALSE
"FOXTON"	57	FALSE
"Uren"	57	FALSE
"18s"	56	FALSE
"Lazzarini"	56	FALSE
"Tumut"	56	FALSE
"viz"	56	FALSE
"waa"	56	FALSE
"oldage"	55	FALSE
"ASIO"	54	FALSE
"jarrah"	54	FALSE
"Maloney"	54	FALSE
"nol"	54	FALSE
"thi"	54	FALSE
"wo"	54	FALSE
"Beazley"	53	FALSE
"thehonorable"	52	FALSE
"indorsed"	51	FALSE
"Williamstown"	51	FALSE
"Adermann"	50	FALSE
"nf"	50	FALSE
"f.o.b"	49	FALSE
"honorablemember"	49	FALSE
"Blakeley"	48	FALSE
"GovernorGeneral's"	48	FALSE
"lOd"	48	FALSE
"n.e.i"	48	FALSE
"superphosphates"	48	FALSE
"cornsacks"	47	FALSE
"fides"	47	FALSE
"woolgrowers"	47	FALSE
"Barwick"	46	FALSE
"Corser"	46	FALSE
"Pratten"	46	FALSE
"Rosevear"	46	FALSE
"aud"	45	FALSE
"AuditorGeneral"	45	FALSE
"employe"	45	FALSE
"IAC"	45	FALSE
"Lucock"	45	FALSE
"Rabaul"	45	FALSE
"inthe"	44	FALSE
"intrusted"	44	FALSE
"karri"	44	FALSE
"showeth"	44	FALSE
"ti"	44	FALSE
"unfavorable"	44	FALSE
"AttorneyGeneral's"	43	FALSE
"Bowden"	43	FALSE
"disallowance"	43	FALSE
"Kembla"	43	FALSE
